"","X0CKA","X0CKB","X0MKA","X0MKB","X0NKA","X0NKB","X0SKA","X0SKB","X2CKA","X2CKB","X2MKA","X2MKB","X2NKA","X2NKB","X2SKA","X2SKB","X5CKA","X5CKB","X5MKA","X5MKB","X5NKA","X5NKB","X5SKA","X5SKB","X8CKA","X8CKB","X8MKA","X8MKB","X8NKA","X8NKB","X8SKA","X8SKB","X12CKA","X12CKB","X12MKA","X12MKB","X12NKA","X12NKB","X12SKA","X12SKB","X16CKA","X16CKB","X16MKA","X16MKB","X16NKA","X16NKB","X16SKA","X16SKB","X20CKA","X20CKB","X20MKA","X20MKB","X20NKA","X20NKB","X20SKA","X20SKB","X25CKA","X25CKB","X25MKA","X25MKB","X25NKA","X25NKB","X25SKA","X25SKB","X30CKA","X30CKB","X30MKA","X30MKB","X30NKA","X30NKB","X30SKA","X30SKB","X40CKA","X40CKB","X40MKA","X40MKB","X40NKA","X40NKB","X40SKA","X40SKB"
"glutamate(2-)",5.2528,7.591,13.5466,14.3037,5.5734,6.9509,9.6492,9.6225,7.591,4.4008,8.7555,8.6346,3.3946,3.4829,7.5069,9.6225,3.5561,2.914,8.5064,8.7285,2.886,3.2828,6.0634,5.2489,3.4055,3.0438,8.8561,7.7319,3.4773,3.5225,4.1398,4.4324,3.3985,2.6781,8.4675,6.8897,3.7527,3.0467,4.393,4.1062,2.98,2.7819,6.8672,7.0558,3.083,3.2713,4.1083,4.0984,5.3827,6.6325,6.6572,6.9453,3.455,3.119,4.2359,4.2359,6.1809,6.745,9.7194,10.2865,6.66,4.9805,7.5069,6.7291,4.7244,5.7645,9.9156,10.3464,7.4025,7.3301,7.1709,8.0395,3.5463,3.0594,7.5397,7.7917,7.9811,5.8611,3.7305,8.6652
"glutamine",5.5051,6.5591,8.0708,8.2728,6.1966,6.2062,11.4128,11.2275,6.5591,6.06,7.3276,7.0218,5.2135,5.451,10.2952,11.2275,7.4756,6.6454,10.8514,11.1071,6.5814,7.0888,9.9815,8.6697,9.7455,8.8093,13.9646,12.1971,8.7878,8.5141,9.5386,9.5453,10.4776,8.7726,14.098,11.6512,11.136,8.4199,8.9354,9.2028,10.2479,10.1258,13.0631,13.052,8.8213,8.6723,8.565,8.812,8.2751,8.551,10.9378,11.419,9.2633,8.7251,10.407,10.407,9.1954,9.6303,11.6946,12.4595,10.2485,9.5111,10.2952,10.1288,10.3616,11.1858,13.3477,13.2791,10.9784,10.7199,11.4946,12.168,11.8978,11.5448,11.1155,11.5631,12.2304,11.2997,13.601,12.4351
"glycerol",26.6482,35.1749,23.755,22.4443,32.4299,33.3313,42.836,41.4008,35.1749,24.4282,18.1123,15.95,18.6065,16.3488,8.5536,41.4008,15.3295,16.7128,25.9182,23.8723,15.7796,16.3477,27.7409,25.1821,18.5681,17.396,27.2491,23.8391,15.7192,17.5814,12.0623,14.3959,20.5704,14.4791,34.7228,27.4872,17.6147,17.7246,16.4792,11.1423,15.8938,16.1086,22.5681,22.1465,14.8168,15.9956,12.9455,12.0149,13.6979,14.9336,16.642,16.3032,17.2784,16.4693,10.8378,10.8378,8.8486,9.3307,12.0346,12.8735,12.912,12.7257,8.5536,7.3921,10.1818,8.0257,8.6851,7.9902,14.9202,11.0763,5.8529,5.7296,6.5705,6.1005,4.9442,5.5255,8.6783,5.6519,6.9116,5.6721
"glycine",34.7009,30.421,32.8248,31.7815,28.6838,29.5589,47.2754,49.2005,30.421,25.3786,20.2031,19.8086,20.9299,19.4117,7.7444,49.2005,19.7204,21.3649,26.3195,27.7357,19.5052,20.6015,29.2277,25.6865,21.4808,21.112,29.274,24.598,20.5711,23.0787,20.4767,21.3364,21.3009,18.7302,27.1573,21.6985,22.3554,23.3029,18.5851,9.9528,14.5387,15.6787,17.5512,18.1855,16.2562,16.6714,12.259,12.7063,10.0598,9.775,9.277,11.5742,14.2277,13.1849,9.8873,9.8873,6.4577,6.4367,8.1429,9.1358,10.4005,9.3236,7.7444,6.9327,6.503,5.8947,6.3865,6.1556,8.1088,7.2464,6.7291,6.6294,5.4016,5.381,5.4087,5.0759,6.9917,6.3117,6.1366,5.7284
"inosine",0.1189,0.0515,0.1566,0.1276,0,0.0665,0.5993,0.6192,0.0515,0.0681,0.1078,0.098,0.0602,0.0574,0.0326,0.6192,0.0487,0.0726,0.1284,0.1283,0.0692,0.0725,0.2946,0.2766,0.0578,0.0693,0.1268,0.1061,0.0575,0.0751,0.1759,0.1645,0.0531,0.0414,0.1065,0.0836,0.0604,0.0983,0.07,0.0446,0.0323,0.0407,0.0577,0.064,0.0341,0.0351,0.0333,0.0363,0.0449,0.0374,0.0341,0.0403,0.0286,0.034,0.0307,0.0307,0.057,0.0565,0.0395,0.0509,0.0281,0.0374,0.0326,0.0291,0.1027,0.0713,0.0287,0.0342,0.0817,0.0237,0.0349,0.0349,0.0706,0.0695,0.0419,0.0552,0.0454,0.064,0.0642,0.0359
"isoleucine",2.2424,2.011,8.7253,8.6239,1.0614,1.8775,4.9422,4.9542,2.011,1.5364,5.5374,5.2734,1.221,1.1479,2.5867,4.9542,1.1944,1.2812,5.7478,6.0648,1.1376,1.2473,3.2381,2.8487,1.4347,1.3782,6.3788,5.4186,1.4279,1.5637,2.2756,2.3993,1.5803,1.3509,5.7612,4.9073,1.5061,1.643,2.3291,2.4428,1.4439,1.5713,5.007,5.1314,1.2507,1.3281,2.2772,2.3522,1.6518,1.5209,4.2571,4.981,1.5109,1.3808,2.5131,2.5131,1.5825,1.6617,4.5592,4.7836,1.5776,1.5121,2.5867,2.4903,1.8022,1.7348,4.7676,4.5595,1.9308,1.5734,2.7296,2.8605,1.8057,1.7762,2.7322,3.9653,1.9682,1.8364,3.5046,4.3318
"lactate",4.0088,3.3579,8.3126,7.6175,2.3669,2.1828,7.7254,7.5694,3.3579,2.3737,5.0252,4.6991,1.4131,1.3339,18.3482,7.5694,1.543,1.9019,7.2225,7.2666,1.229,1.262,5.0637,5.0746,2.5051,2.3892,10.535,9.1914,1.3915,1.4318,2.5451,3.0197,8.4115,6.9192,20.5817,17.9428,5.2506,7.1828,10.5946,26.8626,14.3544,16.1596,23.5591,26.1911,12.2473,13.4031,26.5305,26.2803,14.5669,14.2136,26.0201,20.4135,19.102,18.6137,20.0467,20.0467,10.4241,10.2128,14.6003,16.3074,16.2523,19.2709,18.3482,17.9369,9.1039,6.667,12.2558,14.2712,8.8935,7.8588,12.3396,8.4106,4.275,3.8688,7.6479,8.1146,6.7285,6.0245,5.9505,8.5126
"leucine",1.8953,1.6677,7.7756,8.3241,1.3547,1.5641,5.2357,5.3328,1.6677,1.3214,5.0947,5.0525,1.1076,1.1051,3.0845,5.3328,1.1564,1.118,4.8839,5.1157,1.0019,1.101,3.4853,3.0272,1.3398,1.2649,5.4943,4.8197,1.3237,1.4238,2.559,2.8085,1.5158,1.3569,5.1499,4.3018,1.4446,1.4896,2.7053,2.8828,1.453,1.5261,4.64,4.8431,1.3176,1.3361,2.6901,2.7429,1.7013,1.5626,4.4685,4.9337,1.5507,1.4115,2.8045,2.8045,1.6945,1.7426,4.4836,4.6803,1.6708,1.5886,3.0845,2.9937,1.9511,1.9109,4.8626,4.914,2.0552,1.7575,3.2341,3.3928,2.0292,1.9681,3.3783,4.2569,2.1444,2.0345,4.2552,4.5339
"L-lysine",0,5.0942,10.6888,10.5142,3.9263,4.4811,7.986,7.4258,5.0942,3.3009,7.2231,6.288,2.9838,3.0295,4.8311,7.4258,3.3292,1.7526,8.1436,8.1253,2.0463,2.9699,4.9451,4.3185,3.9561,3.2113,8.8772,7.7522,3.8395,2.7932,3.1516,3.1989,4.575,3.5159,9.8334,7.5394,4.3179,0.412,3.9659,2.3088,3.7888,0,6.863,6.5536,3.6343,3.8233,3.5747,3.5961,0,3.9382,5.6562,5.605,4.1757,4.0706,3.8775,3.8775,0,0.592,6.1375,6.0867,3.7033,3.6409,4.8311,4.0121,4.6136,4.6704,6.24,5.8492,4.2409,3.8709,3.5045,4.1366,4.1149,3.7883,3.6323,6.1045,4.6957,1.8196,4.9564,6.2103
"mannitol",56.707,48.683,43.5472,40.6407,45.7308,47.5148,62.4085,62.9724,48.683,38.2442,28.4419,25.9021,29.4219,24.9123,76.0137,62.9724,22.082,28.4077,38.5524,41.4881,24.572,25.551,42.0745,36.7791,25.5505,28.2085,41.9239,35.5218,22.6582,27.7831,22.28,27.3663,27.8303,23.0462,42.4489,34.4566,25.6765,33.5209,28.646,59.1623,36.4472,40.0819,41.0255,43.2645,24.5698,24.846,45.0535,46.431,54.692,54.1954,60.1417,66.0021,39.8847,37.1264,63.0811,63.0811,65.6097,68.6026,72.5346,76.4289,61.0022,56.8149,76.0137,75.6158,79.735,82.3103,87.124,87.6588,74.122,66.8404,81.2499,88.6854,86.3947,86.558,81.2127,85.0825,83.45,75.9578,112.3606,88.8516
