"","X0CKA","X0CKB","X0MKA","X0MKB","X0NKA","X0NKB","X0SKA","X0SKB","X2CKA","X2CKB","X2MKA","X2MKB","X2NKA","X2NKB","X2SKA","X2SKB","X5CKA","X5CKB","X5MKA","X5MKB","X5NKA","X5NKB","X5SKA","X5SKB","X8CKA","X8CKB","X8MKA","X8MKB","X8NKA","X8NKB","X8SKA","X8SKB","X12CKA","X12CKB","X12MKA","X12MKB","X12NKA","X12NKB","X12SKA","X12SKB","X16CKA","X16CKB","X16MKA","X16MKB","X16NKA","X16NKB","X16SKA","X16SKB","X20CKA","X20CKB","X20MKA","X20MKB","X20NKA","X20NKB","X20SKA","X20SKB","X25CKA","X25CKB","X25MKA","X25MKB","X25NKA","X25NKB","X25SKA","X25SKB","X30CKA","X30CKB","X30MKA","X30MKB","X30NKA","X30NKB","X30SKA","X30SKB","X40CKA","X40CKB","X40MKA","X40MKB","X40NKA","X40NKB","X40SKA","X40SKB"
"valine",2.0215,1.7757,8.5496,8.9329,1.2431,1.604,4.1207,4.189,1.7757,1.338,5.0299,5.0844,1.1559,1.1576,2.5209,4.189,1.1846,1.1371,4.6683,4.9308,1.0507,1.1401,2.7535,2.4105,1.3267,1.2561,5.1647,4.5416,1.3419,1.4615,2.1845,2.2566,1.4935,1.3097,4.7967,4.0792,1.4206,1.4241,2.236,2.3892,1.4278,1.4969,4.5131,4.6611,1.2594,1.2922,2.2196,2.2977,1.5781,1.4805,4.2635,4.7539,1.4688,1.3505,2.4744,2.4744,1.4475,1.6035,4.3341,4.4845,1.5756,1.4759,2.5209,2.4421,1.7624,1.7394,4.8007,4.7912,1.9239,1.6457,2.697,2.8275,1.8014,1.8085,2.7216,3.6733,1.9602,1.7265,3.5055,4.5652
"gamma-aminobutyrate",1.8832,1.4136,2.7503,2.678,1.5154,1.1496,4.325,4.3761,1.4136,1.1347,2.6357,2.7366,0.9469,0.8395,0.809,4.3761,0.8766,1.0699,4.4616,4.4005,1.7006,1.784,3.4689,3.8944,2.6151,2.32,5.147,5.8892,2.6963,2.5897,2.8741,2.7983,3.0938,2.5644,4.8009,5.8411,2.2727,3.0634,3.2433,0.9101,1.8183,1.9028,4.857,4.637,2.7278,2.5664,2.8688,2.8161,0.7161,0.5752,1.3222,1.231,2.8577,1.677,2.4401,2.4401,1.1788,1.0692,1.1788,1.0692,0.6553,0.5759,0.809,0.8554,0.5608,0.6585,1.0437,1.0636,0.58,0.7235,0.693,0.6769,0.5157,0.4585,0.7577,0.6147,0.4277,0.6492,0.8591,0.7611
"arabinose",6.1217,20.3941,6.9587,5.2167,6.1593,9.5965,11.9947,11.2834,20.3941,4.5762,2.7644,2.9267,2.2283,3.6439,0.8603,11.2834,4.4565,1.7049,7.6705,4.6179,4.0449,3.4377,7.092,8.0124,2.3821,3.8927,4.5407,6.3386,4.6171,2.7481,4.477,3.4382,1.8631,2.155,2.2826,1.3497,7.7708,2.322,3.517,1.6329,5.0498,1.7293,3.8489,2.3408,1.3592,1.7282,2.5223,2.5242,1.0356,5.318,3.4221,2.2754,0.9317,1.4122,2.9585,2.9585,4.0887,2.5546,4.0887,2.5546,1.0502,1.3371,0.8603,0.4853,0.7199,1.0751,2.4136,1.5796,1.1462,1.2138,2.5654,2.9215,0.8139,1.176,2.3864,2.5898,3.8602,0.6389,2.6841,2.568
"cadaverine",2.472,0,5.3662,5.3495,2.1574,1.4156,3.2886,3.4168,0,1.7154,3.1349,3.8693,1.6001,1.5341,2.2548,3.4168,0.8103,1.7609,4.1392,4.1467,1.4972,1.1934,2.149,2.4924,2.0748,1.6317,3.9236,4.5209,1.7889,1.9607,1.5666,1.5624,2.2989,1.7227,3.8951,5.1036,0,2.0625,2.1511,1.9604,0,1.8458,3.2539,3.4078,1.7647,1.6841,1.8166,1.8048,2.0106,0,2.8307,2.9616,1.8035,2.0392,1.1589,1.1589,3.1728,3.3019,3.1728,3.3019,1.7624,1.8439,2.2548,2.6054,2.3773,2.4021,3.2968,3.5328,2.1107,2.6988,2.2194,1.8301,2.3383,2.0597,3.0988,2.036,1.196,2.2918,3.1381,2.5633
"citrate(1-)",3.4073,3.0122,1.946,1.8501,3.3019,2.6078,6.9258,7.3106,3.0122,1.735,1.825,2.1257,1.1781,1.2357,0.6835,7.3106,1.0688,1.2286,3.8696,4.053,1.2794,1.0528,4.3766,4.5034,1.5175,1.2124,4.0626,4.6917,1.3806,1.3769,1.9881,1.8065,1.5308,0.9132,2.5146,3.4473,1.3772,1.5476,1.6209,0.4311,0.3232,0.5746,1.1446,1.168,0.8794,0.7436,0.5446,0.5678,0.6492,0.275,0.5343,0.5664,0.5843,0.6079,0.3948,0.3948,0.5241,0.6302,0.5241,0.6302,0.5456,0.5007,0.6835,0.6142,0.466,0.5453,0.6418,0.6314,0.5313,0.8603,0.0481,0.0801,0.3948,0.2653,0.0679,0.0413,0.0665,0.5102,0.0591,0.1573
"fumarate(1-)",0.0955,0.5822,0.2133,0.1761,0.075,0.2687,0.4483,0.3755,0.5822,0.1453,0.1238,0.1288,0.1153,0.1253,0.0406,0.3755,0.1196,0.1077,0.2844,0.1701,0.17,0.1279,0.2865,0.3409,0.1542,0.156,0.2734,0.3488,0.2031,0.1586,0.2639,0.2616,0.1671,0.1509,0.1913,0.2842,0.1759,0.1694,0.2639,0.2321,0.1759,0.1525,0.2742,0.26,0.1515,0.1392,0.2612,0.2592,0.0944,0.0443,0.2265,0.1946,0.1551,0.1584,0.2535,0.2535,0.0419,0.0358,0.0419,0.0358,0.1632,0.0356,0.0406,0.0478,0.0247,0.0438,0.0372,0.0258,0.0289,0.0521,0.0208,0.0281,0.0255,0.0242,0.0297,0.0227,0.0278,0.0339,0.0293,0.0615
"malate",13.9781,10.7779,5.4649,5.5211,12.7147,9.6923,8.5063,9.6143,10.7779,5.2581,3.8283,4.8439,3.7967,3.7996,1.3082,9.6143,1.5851,2.9903,8.1085,9.236,2.4353,1.8047,8.1524,7.744,3.2059,2.1469,9.6285,11.2959,2.3953,2.8805,5.0158,4.457,2.9302,1.6135,5.2123,6.6608,1.0272,2.6847,2.4317,0.5316,0.2765,0.8964,1.8971,2.1843,1.6505,1.154,0.5665,0.6002,1.3226,0.2465,0.2642,0.7787,1.2885,1.1474,0.3394,0.3394,0.3302,0.6809,0.3302,0.6809,1.0695,0.9278,1.3082,1.8704,1.2481,1.571,0.638,0.902,0.9235,1.9515,0.1663,0.2178,1.087,0.7192,0.1804,0.1879,0.1923,1.4263,0.2237,0.4481
"N-acetylglucosamine",2.1865,2.3668,2.512,2.3898,1.8456,1.5909,3.1582,2.7955,2.3668,1.4707,1.446,1.5401,0.988,1.0695,0.9095,2.7955,1.0319,0.9209,2.1241,2.2259,0.9163,0.8619,2.1821,2.5862,1.0339,0.9608,1.8945,2.5542,1.0037,0.926,1.1999,1.0507,1.023,0.7699,1.8716,2.1977,1.3784,1.0156,1.1163,0.7464,0.8786,0.7503,1.6027,1.5004,0.7808,0.7195,0.8863,0.8921,0.8436,0.9494,1.1897,1.0813,0.7703,0.7803,0.8995,0.8995,1.316,1.1479,1.316,1.1479,0.7552,0.7915,0.9095,0.9256,0.7421,0.8459,1.1479,1.1085,0.8196,0.8229,0.9905,0.9866,0.8103,0.7342,0.8622,0.8997,0.8833,0.8698,0.9232,1.5058
"putrescine",3.3545,1.3825,4.5859,5.1154,3.1193,1.3529,3.627,3.9766,1.3825,1.6905,2.774,2.9852,1.4667,1.3722,2.3522,3.9766,0.6703,1.499,3.8058,3.9234,0.9935,0.6188,1.8147,2.054,1.5894,1.0793,3.377,3.9787,0.9625,1.2358,0.9263,0.7913,1.6641,0.9552,3.2829,4.4212,0.8201,1.4366,1.1923,1.604,0.7168,1.0277,2.637,2.8432,1.0038,0.9052,1.0959,1.15,1.4193,1.1735,2.1547,2.7437,1.3872,1.3909,0.8177,0.8177,3.24,3.3548,3.24,3.3548,1.2871,1.6579,2.3522,2.5444,2.3458,2.444,3.705,3.5274,2.0186,3.33,1.9739,1.7345,2.1062,1.6115,2.754,1.7081,0.864,2.4235,2.7662,2.6404
"D-ribose",10.0255,25.1667,18.2182,9.5198,11.422,19.6783,19.6326,19.4942,25.1667,6.6341,4.2411,4.5348,3.3308,5.7753,1.3822,19.4942,7.8723,2.9438,13.4578,6.6261,7.0685,5.5266,12.8355,14.5576,4.6494,7.5092,7.9851,12.0861,8.984,5.528,10.362,9.4156,3.4359,4.1403,4.0348,2.9197,13.9911,4.669,7.1969,3.011,9.859,3.23,7.2464,4.6541,1.708,2.991,4.4373,5.0004,1.5688,10.6741,7.2474,6.1623,1.2001,2.0173,5.4186,5.4186,8.5983,4.2897,8.5983,4.2897,1.5682,2.0683,1.3822,0.9651,1.5991,7.3702,6.1126,3.5301,1.8761,14.0302,5.6562,5.8083,1.7459,2.7819,13.5288,5.7338,8.4878,1.2752,9.5863,25.344
"succinate",1.1777,1.2082,1.1778,1.1778,1.1506,1.0423,1.5079,1.5011,1.2082,0.711,0.6413,0.6994,0.5006,0.551,0.5711,1.5011,0.4241,0.4317,0.8436,0.859,0.4548,0.4017,1.5824,1.7161,0.4692,0.3988,1.7913,1.7789,0.4822,0.4572,1.3102,1.2138,0.4938,0.338,0.7014,0.9136,0.3839,0.4357,1.193,0.3484,0.3658,0.3683,0.663,0.6343,0.3468,0.313,0.3576,0.3637,0.4683,0.4689,0.5375,0.4623,0.3571,0.3791,0.3673,0.3673,1.0431,0.988,1.0431,0.988,0.4372,0.4687,0.5711,0.7119,0.4833,0.6141,0.7551,0.7067,0.4408,0.576,0.6341,0.7092,0.4809,0.4631,0.5942,0.6167,0.5506,0.6292,0.7352,0.7157
