"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"25SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"30SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"40SKB"
